DateTime;Open;High;Low;Close;Volume
2016-01-22;411.0;411.2;371.25;380.96;62213.91956269009
2016-01-23;381.0;394.81;379.85;385.57;21470.918502969747
2016-01-24;385.55;407.33;385.1;402.77;23219.927837279884
2016-01-25;402.76;402.77;384.0;390.96;22664.63967212988
2016-01-26;390.91;398.0;386.66;391.41;13322.870429170203
2016-01-27;391.23;396.99;389.66;394.97;8538.432035690046
2016-01-28;394.7;395.48;375.01;378.39;25024.08113808977
2016-01-29;378.15;386.0;360.03;377.6;62204.81102909039
2016-01-30;377.4;380.6;374.0;376.56;10501.947978230022
2016-01-31;376.31;378.9;362.57;365.52;14887.778690270176
2016-02-01;365.58;379.27;363.23;371.42;24797.196758549686
2016-02-02;371.22;374.8;369.69;372.9;10443.462138560173
2016-02-03;372.9;374.0;365.65;368.98;13195.150196850062
2016-02-04;369.0;393.89;368.65;389.96;37339.91926219932
2016-02-05;389.98;393.0;384.19;386.54;16879.235868740143
2016-02-06;386.54;386.54;365.0;373.75;40202.13384673973
2016-02-07;373.71;377.8;369.17;372.01;13056.062393660148
2016-02-08;372.26;377.0;369.01;370.49;16881.20552174015
2016-02-09;370.29;377.96;370.04;374.31;9216.51889923005
2016-02-10;374.43;387.0;373.13;381.17;33532.245858179536
2016-02-11;380.97;383.23;372.25;377.99;14521.328019790071
2016-02-12;378.0;383.53;377.04;382.94;10146.83584537006
2016-02-13;382.94;393.0;382.55;393.0;14755.537655910162
2016-02-14;392.99;408.66;392.93;408.3;29423.67609439953
2016-02-15;408.3;412.5;395.23;399.9;30129.685193289966
2016-02-16;400.08;408.77;398.66;407.27;13991.056777410102
2016-02-17;407.37;421.9;405.16;414.88;30400.764893609914
2016-02-18;414.89;426.21;412.51;421.5;25228.63442937999
2016-02-19;421.51;422.54;412.0;419.85;13268.556246830109
2016-02-20;419.72;445.96;419.72;438.7;47477.18201239002
2016-02-21;438.73;451.6;428.01;440.49;43012.36409729954
2016-02-22;440.49;442.5;433.01;440.27;16337.466439880212
2016-02-23;440.25;442.67;416.24;421.4;32431.14307513074
2016-02-24;421.5;427.5;409.69;426.36;22426.108997230327
2016-02-25;426.36;430.0;419.5;424.88;13595.76030845033
2016-02-26;424.89;435.9;419.83;435.49;18860.341893470344
2016-02-27;435.49;438.6;431.81;434.3;11592.353368190239
2016-02-28;434.03;437.89;422.1;434.45;19852.271098541023
2016-02-29;434.46;445.0;430.51;438.99;20389.46046158061
2016-03-01;439.53;442.79;427.26;434.82;19625.832775420673
2016-03-02;434.99;436.45;421.11;422.09;16463.129152610763
2016-03-03;421.7;424.43;416.4;420.56;20874.05140072991
2016-03-04;420.19;423.99;407.5;408.82;21749.419855930013
2016-03-05;408.71;410.14;389.0;397.36;46951.85160138023
2016-03-06;397.37;409.5;392.01;403.75;19707.204719970003
2016-03-07;403.77;415.8;401.51;412.7;15306.221330260063
2016-03-08;412.62;416.0;406.0;411.35;10227.455512020048
2016-03-09;411.34;414.5;407.47;413.05;9027.753218880063
2016-03-10;412.9;418.24;410.68;416.51;13709.082920749908
2016-03-11;416.64;423.6;415.5;420.47;15464.778642660029
2016-03-12;420.49;421.81;406.38;410.01;17020.425544630074
2016-03-13;410.01;416.0;410.0;411.87;7628.342534440028
2016-03-14;412.0;417.99;411.7;415.91;9210.432258500037
2016-03-15;415.99;418.82;412.78;415.5;9632.105654380004
2016-03-16;415.52;418.0;413.96;417.28;7066.7064469199995
2016-03-17;417.28;420.6;416.67;418.75;8308.821378350045
2016-03-18;418.71;418.86;403.01;407.86;21090.86035611995
